Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
84,Pegasus,Serkan Ç,2,1,Pegasus rezil eder,Antalya - Düsseldorf,Europe,Ağustos 2024,16 Ağustos 2024,"Antalya’dan Düsseldorf’a yapacağımız uçuş için Pegasus’tan uygun fiyatlı bilet aldım. Ancak uçuş saatinden 24 saat önce iptal bildirimi aldık ve para iadesi yapılmadı. Değişiklik yapmak istediğimizde, ek ücretler talep edildi; önce 8500 TL istendi, ödendi, ardından 2500 TL daha eklenerek işlem yapılabileceği söylendi. Bu tür uygulamalar, yolcuları finansal olarak zor durumda bırakıyor ve havayolunun güvenilirliğini ciddi şekilde zedeliyor. Yolcuların haklarının korunması ve iletişim süreçlerinin şeffaf olması havayolunun sorumluluğundadır. Bu deneyim, Pegasus’un müşteri memnuniyeti konusundaki eksikliklerini açıkça ortaya koymaktadır.",Olumsuz
85,Pegasus,Aslı K,1,4,Valiz sorunu,Nicosia - Istanbul,Europe,Ağustos 2024,12 Ağustos 2024,"Kıbrıs’tan İstanbul’a Pegasus ile yaptığımız uçuşta, Sabiha Gökçen Havalimanı’na indiğimizde valizimizin alt ön ve arka kısmının kırık olduğunu gördük. Kıbrıs’ta çalışan Pegasus personeli valizin sap kısmındaki küçük bir çizik nedeniyle tüm valizi hasarlı olarak sisteme kaydetmişti. Sabiha Gökçen Dış Hatlar gelen yolcu bölümündeki müdür sorunu anlayışla ve güleryüzle çözerek mağduriyetimizi giderdi. Bu durumun sık yaşandığını belirtmesi, havayolunun bagaj yönetiminde daha dikkatli olması gerektiğini gösteriyor. Sonuç olarak, valiz hasarı kısa sürede çözüme kavuşturuldu ve müdürün yaklaşımı takdire şayandı. Pegasus’un bazı personel eksiklikleri ve süreç yönetiminde yaşanan aksaklıklar olsa da doğru müdahalelerle sorunlar çözülebiliyor.",Olumlu
86,Pegasus,Cafer R,1,1,Bebek arabasının hasar gördü ve kimse ilgilenmiyor,Istanbul - Düsseldorf,Europe,Temmuz 2024,5 Ağustos 2024,"Ailemle gerçekleştirdiğimiz uçuş sırasında yeni aldığımız taşınabilir bebek arabamız hasar gördü. Kabin bagajı olarak kabul edilmesi gerektiğini düşündüğümüz mobil bebek arabasının uçağın içine alınmasına izin verilmedi. Dönüş uçuşunda bebek arabası bagaj olarak teslim alındı ve teslim aldığımızda metal aksamında çizikler, kumaş kısmında yırtıklar ve mekanik bölümünde deformasyonlar oluştuğunu fark ettik. Bu bebek arabasını seyahat öncesinde sıfır olarak satın almıştık. Kabin bagajı politikası konusunda diğer havayollarında farklı uygulamalar olabildiğini gördük. Bebek arabasının hasarlı teslim edilmesi kabul edilemez bir durumdur ve yaşanan mağduriyetin giderilmesini talep ediyorum.",Olumsuz
87,Pegasus,Ahmet K,1,1,Kilo sınırı sorunları,Hamburg - Antalya,Europe,Ağustos 2024,3 Ağustos 2024,"Dört kişi için toplam bagaj hakkımız 4x20 kg olmasına rağmen 4x21 kg valiz ve 2x8 kg el bagajı ile seyahat ettik. Toplamda 12 kg eksik olmamıza rağmen valizlerde 4 kg fazla olduğu gerekçesiyle 40 Euro ek ücret talep edildi. Bu ücretlendirme politikası mantıksız ve yolcular açısından anlaşılması zor bir uygulama olarak görünüyor.",Olumsuz
88,Pegasus,Melike T,3,5,Pegasus müşteri memnuniyeti,Bodrum District - Ankara,Domestic,Temmuz 2024,27 Temmuz 2024,"Diğer havayolu şirketi çalışanlarının ilgisizliği ile kıyasladığımda Pegasus personelinin genel olarak daha ilgili olduğunu düşünüyorum. Özellikle Ankara’da yaşanan valiz karışıklığında Oğuzhan İsen isimli personelin yardımıyla sorunumuz hızlıca çözüldü. Bu yaklaşım müşteri memnuniyetini artıran önemli bir faktördür.",Olumlu
89,Pegasus,Hülya U,1,1,Çalışanların rezaleti,Antalya - Stuttgart,Europe,Temmuz 2024,18 Temmuz 2024,"Uçuşumuzun iki saat ertelenmesi nedeniyle havaalanında uzun süre beklemek zorunda kaldık. Ayrıca 3 kg fazla bagaj için ücret ödemek zorunda bırakıldım. Uçak içinde boş koltuklar olmasına rağmen bagajım kabul edilmedi. Gecikme ve bagaj politikası birlikte değerlendirildiğinde deneyimim olumsuz oldu ve hizmet anlayışının geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
90,Pegasus,Jindajin T,1,1,Yolculuğun dışında Pegasus firması insanı çok yoruyor,Istanbul - Vienna,Europe,Temmuz 2024,18 Temmuz 2024,"Uçuş kalkışımız ciddi şekilde gecikti ve bagaj teslim süresi oldukça uzun sürdü. Valizleri almak için yaklaşık iki saat beklemek zorunda kaldık. Hizmet kalitesinin düşük olduğunu düşünüyorum ve benzer sorunların tekrar yaşanmaması için süreçlerin iyileştirilmesi gerektiğini düşünüyorum.",Olumsuz
91,Pegasus,Haydar S,1,1,Sürekli gecikmeli kalkıyor,Edremit - Istanbul,Domestic,Temmuz 2024,14 Temmuz 2024,"İç veya dış hat fark etmeksizin yaptığım uçuşların büyük kısmında kalkışların geciktiğini gözlemledim. Uçuşların yaklaşık %90 oranında planlanan saatten sonra gerçekleşmesi ciddi zaman kaybına neden oluyor. Yolcuların planlarını olumsuz etkileyen bu gecikme probleminin çözülmesi gerektiğini düşünüyorum. Eğer bu durum devam ederse yolcu sayısının azalabileceğini düşünüyorum ve hizmet kalitesinin artırılması gerektiğini ifade etmek isterim.",Olumsuz
92,Pegasus,Rüveyda Çetin,187,5,Harika yolculuk,Istanbul - Canton of Geneva,Europe,Temmuz 2024,13 Temmuz 2024,"Pegasus ile Temmuz ayında Cenevre’ye yaptığım uçuş genel olarak oldukça memnuniyet vericiydi. Kabin ekibi çok ilgili ve güler yüzlüydü. Uçağın temizliği ve düzeni dikkat çekiciydi. Bagaj kuralları net bir şekilde uygulanıyordu ve birden fazla kabin bagajı getiren yolcuların bagajlarının uygun şekilde yönlendirilmesi yolculuk düzenini sağladı. Uçak içi yemek seçeneklerinin havaalanı restoranlarına göre daha uygun fiyatlı olduğunu gözlemledim. Bir sonraki uçuşlarımda Pegasus’u tekrar tercih etmeyi düşünüyorum.",Olumlu
93,Pegasus,Harun D,1,1,Aldığınız paranın hakkını verin,Rotterdam - Istanbul,Europe,Temmuz 2024,7 Temmuz 2024,"Pegasus ile yaptığım seyahat deneyiminde hizmet kalitesinin beklentilerimin altında kaldığını düşündüm. Uçuş öncesi stresli bir süreç yaşadım ve müşteri memnuniyetine daha fazla önem verilmesi gerektiğini düşünüyorum. Ek ücret politikalarının daha şeffaf olması ve yolculara daha iyi bilgilendirme yapılması gerektiğine inanıyorum.",Olumsuz
94,Pegasus,Global48769637532,1,1,Rezillik resmen,Basel - Istanbul,Europe,Temmuz 2024,4 Temmuz 2024,"Bilet iptal ve iade işlemleri nedeniyle bir haftadan fazla süre boyunca süreçle uğraşmak zorunda kaldım. İade sürecinin yavaş ilerlemesi ve müşteri hizmetlerinden yeterli desteği alamamam nedeniyle mağduriyet yaşadım. Para iadesi konusunda daha hızlı ve etkili bir sistem oluşturulması gerektiğini düşünüyorum.",Olumsuz
95,Pegasus,Nagehan Y,5,1,Hostesimiz Yaren hanıma teşekkür,Istanbul - Sharm El Sheikh,International,Mayıs 2024,29 Haziran 2024,"Uçak içi konfor beklentim düşük olmasına rağmen koltukların sabit olması ve uçuş sırasında su ikramı yapılmaması deneyimi olumsuz etkiledi. Ancak kabin ekibinden Yaren Hanım’ın ilgisi ve zarif yaklaşımı yolculuğu benim için çok daha katlanılabilir hale getirdi. Müşteri memnuniyetinin artırılması için temel konfor hizmetlerinin geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
96,Pegasus,Ali,1,1,"Berbat, uçuş iptalleri",Konya - Basel,Europe,Haziran 2024,24 Haziran 2024,"Konya–İstanbul–Basel uçuşumda planlanan kalkış saati 06:45 idi. Uçuşun iptal edildiği bilgisi gece saat 02:00 civarında bildirildi ve biz zaten üç saat önce yola çıkmıştık. Havaalanında yaklaşık 5 saat beklemek zorunda kaldık. Daha sonra 09:45’teki sonraki uçuşa biletimiz onaylandı. Kabin bagajım yaklaşık 4 kg idi ve görevli tarafından yanınıza alabilirsiniz denildi. Ancak uçağa binmek üzereyken bagajımda etiket olmadığı gerekçesiyle 50 Euro ödeme yapmam gerektiği söylendi ve ödemek zorunda kaldık.",Olumsuz
97,Pegasus,elacmazli,6,1,Asla tavsiye etmem,Amman - Istanbul,International,Haziran 2024,23 Haziran 2024,"Amman’dan Türkiye’ye dönüşümüzü Pegasus ile yapmak zorunda kaldık. İşlerimizi uçuş saatine göre planlamıştık ancak uçuşun 2 saat rötar yapması nedeniyle işlerimize geç kaldık. Rötar hakkında yeterli bilgilendirme yapılmadı ve bu durum planlarımızı olumsuz etkiledi.",Olumsuz
98,Pegasus,Min S,1,1,Rezalet,Istanbul - Antalya,Domestic,Haziran 2024,12 Haziran 2024,"08:10 kalkış saatli İstanbul–Antalya uçuşum bir saat gecikmeli olarak başladı. Uçuş sırasında önce 30 dakika havada dolaştıktan sonra tekrar İstanbul’a iniş yapıldı ve yolcular başka bir uçağa aktarıldı. Sebep hakkında net bilgi verilmedi. Yeni uçakta da uzun süre bekletildik ve müşteri hizmetleri iletişim numarası olarak verilen hat Pegasus’a ait olmadığı gerekçesiyle kapatıldı.",Olumsuz
99,Pegasus,BASRİ T,1,1,Rezalet,Berlin - Istanbul,Europe,Mayıs 2024,28 Mayıs 2024,"Flexi bilet almama rağmen uçuş değişikliği yapmak istediğimde sürekli ek ücret talep edildi. İlk satın aldığım bileti değiştirmek istediğimde de yüksek bir değişiklik ücreti ile karşılaştım. Bilet esneklik politikalarının daha açık ve adil olması gerektiğini düşünüyorum.",Olumsuz
100,Pegasus,A K,1,1,Pegasus gene gecikme,Antalya - Canton of Geneva,Europe,Mayıs 2024,25 Mayıs 2024,"Pegasus ile yaptığım uçuşta yine gecikme yaşandı. Uçuş hakkında hiçbir net bilgilendirme yapılmadı ve yolcular sadece bekletildi. Benzer gecikmelerin sık yaşanması nedeniyle bir daha Pegasus ile uçmayı düşünmüyorum.",Olumsuz
101,Pegasus,İbragim D,1,1,Çok kötü,Moscow - Istanbul,Europe,Nisan 2024,21 Nisan 2024,"Moscow–Istanbul uçuşum sırasında Pegasus’un telefon müşteri hizmetleri ve uygulamalarının tamamen yanıltıcı olduğunu deneyimledim. Bilet alımı sırasında onay süreci karmaşık ve yanıltıcı bir şekilde düzenlenmişti; herhangi bir son onay almadan biletimiz iptal edilmiş ve ücretin büyük bir kısmı geri ödenmemiştir. Ödeme yapılan toplam miktar yaklaşık 20.000 TL iken, yalnızca 3.000 TL iade edildi. Bu durum hem finansal hem de psikolojik olarak ciddi bir mağduriyet yarattı. Sistemin bilerek tuzak şeklinde kurulmuş olması, kullanıcıların farkında olmadan paralarının ellerinden alınmasına neden oluyor ve güvenli bir rezervasyon yapılmasını imkânsız hale getiriyor. Kesinlikle böyle bir uygulamaya güvenilmemesi gerektiğini düşünüyorum.",Olumsuz
102,Pegasus,Ekim D,1,1,Lütfen okuyun!!!!!,Nicosia - Ankara,Europe,Nisan 2024,13 Nisan 2024,"Nicosia–Ankara uçuşumda yaşadığım deneyim son derece stresli ve güvenlik açısından rahatsız ediciydi. Uçak ilk kalkışta gecikti, havada sürekli sallanmalar ve anormal sesler duyuldu. Yolcular arasında ciddi bir korku ve panik havası hakimdi; herkes birbirine bakıp durdu. Kabin ekibi uçuş boyunca hiçbir açıklama yapmadı ve yolcular bilgilendirilmedi. İnişe geçildiğinde ise defalarca 'bir indik, bir çıktık' gibi bir süreç yaşandı. Bu tür belirsiz ve düzensiz hareketler, yolcuların güvenlik algısını olumsuz etkiliyor. Yolculuk boyunca sürekli stres altında kalmak ve bilgi eksikliği yaşamak son derece olumsuz bir deneyimdi. Canınızın değerini biliyorsanız bu tür bir uçuşu tercih etmemenizi şiddetle tavsiye ederim.",Olumsuz
103,Pegasus,Leyli A,1,5,Çalışanlarına,Istanbul - Konya,Domestic,Nisan 2024,11 Nisan 2024,"İstanbul–Konya uçuşum sırasında 11 Nisan tarihinde kabin ekibinden Kumral Beyefendiye gösterdiği güler yüz ve profesyonel tutum nedeniyle teşekkür etmek istiyorum. Uçuş sırasında yaşanan olumsuzluklara rağmen personelin samimi ve yardımsever yaklaşımı, yolculuğumu daha katlanabilir kıldı. Bu tür davranışlar, yolcuların firma ile ilgili olumlu izlenim kazanmasına ve güven duymasına büyük katkı sağlıyor.",Olumlu
104,Pegasus,Cihan Y,1,1,Pegasusa 1 yıldız dahi çokkk,Bonn - Istanbul,Europe,Nisan 2024,7 Nisan 2024,"Bonn–İstanbul uçuşumda Pegasus’un bilet kontrol ve el bagajı uygulamalarını kullanırken son derece olumsuz bir deneyim yaşadım. Görevli personel, el bagajının boyutu veya eksik belgeler gerekçesiyle yolculardan ek ücret talep ediyordu ve bu ücretler çoğunlukla faturasız ve keyfi olarak alınıyordu. Elindeki küçük yetkiyi kötüye kullanmaları, yolcular üzerinde ciddi bir stres yaratıyor ve güveni tamamen ortadan kaldırıyor. Bu uygulama, yolculuk öncesi ve sırasında ciddi bir belirsizlik ve mağduriyet yaratıyor. Bundan sonra bilet alırken Pegasus’u tercih etmeyi düşünmüyorum.",Olumsuz
105,Pegasus,HÜSEYİN C,1,4,Pegasus yer hizmetleri,Berlin - Ankara,Europe,Mart 2024,23 Mart 2024,"Berlin–Ankara gidiş-dönüş uçuşumuzda Pegasus’un yer hizmetleri konusunda karışık bir deneyim yaşadık. Gidiş uçuşunda normal bir süreç izlenmiş olsa da, dönüşte Berlin’de bir bay ve bir bayan çalışan bizi uçağa sorunsuz bir şekilde getirdi. Çalışanlar oldukça güler yüzlü ve yardımseverdi, ancak cüzi bir bahşiş teklif etmek istediğimizde bunu kabul etmediler. Aktarma uçuşu öncesi, yürüme zorluğu olup olmadığını sordular ve biz yürüyebileceğimizi söyledik. Bu hareketleri, personelin sorumluluk bilinci ve yardımlaşma anlayışını göstermekteydi, ancak aynı zamanda süreçlerin daha organize ve açık olması yolcular için faydalı olurdu. Genel olarak, çalışanların yaklaşımı olumlu olsa da sistemsel olarak bazı eksiklikler bulunmakta ve bu durum küçük de olsa yolcu deneyimini olumsuz etkileyebiliyor.",Olumlu
106,Pegasus,Sahin K,1,1,Asla uçmam Pegasus benim için bitmiştir,Berlin - Istanbul,Europe,Şubat 2024,5 Mart 2024,"Fiyatlar neredeyse THY ile aynı ama yolcuları sadece para olarak görüyorlar. Hizmet yok, bagaj konusuna girmiyorum bile. Sürekli gecikme yaşanıyor. Çalışan kabin ekibinin bir günahı yok; kendilerine ne söyleniyorsa onu aktarmak zorunda kalıyorlar. Bazen uçakta yiyecek dahi verilmiyor. Sistem tamamen işleyişe göre düzenlenmiş. İşim gereği neredeyse her ay İstanbul’a gidiyorum ama bundan sonra gerekirse 200 Euro fazla öderim, yine de Pegasus ile uçmam.",Olumsuz
107,Pegasus,Hakan K,1,1,El bagajı hakkım olmasına rağmen ek ücret talep edildi,Istanbul - Nuremberg,Europe,Şubat 2024,26 Şubat 2024,"El bagajı hakkım olmasına rağmen benden ek ücret talep edildi ve herhangi bir fatura kesilmedi. Deneyimim çok kötüydü. Hangi hatayı yazacağımı bilemiyorum; uğraşmaya değmez. Pegasus gerçekten berbat bir hizmet sundu.",Olumsuz
108,Pegasus,rasim o,2,1,Ne diyeyim ki?,Hamburg - Istanbul,Europe,Şubat 2024,21 Şubat 2024,"Ucuz olarak tanımlanan bu havayolu aslında sandığınız kadar ucuz değil. Eğer eliniz boş şekilde uçacaksanız evet ucuz olabilir. Ancak bir valiziniz varsa ekstra ücret ödemeniz gerekiyor. Uçağa 55x40x20 cm ve 8 kg el bagajı alma hakkı veriliyor fakat bazen buna da ek ücret istenebiliyor. Yemekler ücretli ve ucuz değil, su bile parayla satılıyor. Koltuk seçmediyseniz uçağın en arka kısmında yer verilerek yolculuğu zorlaştırabiliyorlar. Pegasus için yolcu değil, gelir önceliklidir. Koltuğumu değiştirmek için siteye girdim fakat sürekli koltuk satın almaya yönlendirildim ve mesajlarıma dönüş yapılmadı. Bu benim son Pegasus uçuşum olacak.",Olumsuz
109,Pegasus,Mehmetmd69,351,1,Rezillikten başka bir şey değil…,Izmir - Nicosia,Europe,Şubat 2024,18 Şubat 2024,"Sinirlerinizi bozup gününüzü mahvetmek istiyorsanız Pegasus ile uçabilirsiniz. Aslında toplam ödediğiniz ücrete baktığınızda en pahalı havayolu olabilir. Hizmet sıfır, güleryüz sıfır. Öncelikleri işi zorlaştırmak. Eşim ve ben önce rezervasyon yaptık, ardından kızım ve damadım için rezervasyon yaptık. Bavullarımızı önce alıp kilo hakkımızı kafalarına göre doldurmadan banttan geçirdiler. Soyisimler farklı olduğu için ekstra kilo ücreti talep edildi. Ekstra kilo satın almamıza rağmen önce 90 kg olan hakkımızı 70 kg olarak işlediler, sonra 80 kg hakkı olan bavullar 84 kg gelince sorun çıkardılar. Havalimanında uzun süre beklemek zorunda kaldık ve rötar 3 saati aşmıştı.",Olumsuz
110,Pegasus,Physio G,1,1,Berbat uçak firması – kanser olmamak için…,Amsterdam - Istanbul,Europe,Şubat 2024,12 Şubat 2024,"Çağrı merkezi personeli arama tarifeleri hakkında yanlış bilgi verdi. 0850 numaranın Avrupa’dan ücretsiz olduğu söylendi ancak ücretli çıktı ve bu durum birkaç kez tekrarlandı. Aramalar sırasında dakika ücreti nedeniyle mağduriyet yaşadım. Müşteri hizmetlerine ulaşmak zor ve şikayet taleplerine günlerdir dönüş yapılmıyor. Bu durum büyük bir stres yarattı. Bir daha bu firmadan bilet almayı düşünmüyorum.",Olumsuz
111,Pegasus,Salih Y,1,1,Sözde uçmanın en ucuz yolu,Eindhoven - Istanbul,Europe,Şubat 2024,10 Şubat 2024,"Pegasus, 'uçmanın en ucuz yolu' sloganıyla kendini pazarlıyor ancak uygulamada durum tamamen farklı. Uçak bileti fiyatları konforlu ve yüksek kaliteli diğer havayollarıyla karşılaştırıldığında çoğu zaman daha pahalıya mal oluyor. El bagajı hakkı sadece bir adet 8 kg olarak belirtiliyor, fakat bayan yolcuların yanlarında taşıdığı küçük çantalar ve kişisel eşyaları ikinci bagaj olarak sayılıyor ve buna göre 50 Euro ceza uygulanıyor. Uçuş sırasında yiyecek ve içecekler çok pahalı ve hizmet kalitesi oldukça düşük. Tüm masraflar ve ek ücretler toplandığında, Pegasus ile uçmak, maliyet açısından konforlu havayollarıyla eşdeğer veya daha pahalıya geliyor. Yolcuların konforu neredeyse hiç önemsenmiyor; kabin ekibi nazik olsa da, sistemin işleyişi yolcular için zorlayıcı. Uçakta tuvalet kullanımından yiyecek ve içeceklere kadar neredeyse her şey için ekstra ücret ödeniyor. Bu deneyim benim için tamamen hayal kırıklığı yaratmıştır ve bundan sonra Pegasus ile uçmayı kesinlikle düşünmüyorum.",Olumsuz
112,Pegasus,Neslihan,2,1,Tümü yeni nesil ama koltukları geriye yatmayan filoya sahip hava yolu!,Sharjah - Istanbul,International,Şubat 2024,4 Şubat 2024,"Pegasus'un güncel filosu tümüyle yeni nesil uçaklardan oluşsa da, koltukların geriye yatmaması ciddi bir konfor sorunu yaratıyor. Sabah 05:25 kalkışlı uçuş için gece 02:30'da yola çıkan yolcular, 5 saat sürecek bir uçuşta dimdik oturmak zorunda kalıyor. Özellikle uzun süreli uçuşlarda, başını yaslayacak yer bulunmaması ve hareket alanının kısıtlı olması kas ve sırt ağrılarına yol açıyor. Teknik malzeme ve bakım konularında tasarruf yapılmış izlenimi veriyor. Filonun yeni ve genç olması, yolcuların gözünde itibar yaratmak yerine konfor eksikliği ve memnuniyetsizliği öne çıkarıyor. Yolcuların uzun uçuşlarda yaşadığı rahatsızlık, düşük maliyetli operasyon modelinin olumsuz bir sonucu olarak öne çıkıyor. Şehirlerarası otobüslerin bile uçaklardan daha konforlu olduğu hissi, Pegasus'un hizmet kalitesi konusunda ciddi eleştirilere açık olduğunu gösteriyor.",Olumsuz
113,Pegasus,Quest46680428428,1,1,Bir daha asla Pegasus,Ankara - Vienna,Europe,Ocak 2023,12 Aralık 2023,"El bagajı hakkım 8 kg olmasına rağmen yanımda el bagajı bulunmamasına rağmen valiz hakkım 25 kg idi. Valizim 28 kg gelince benden 17 Euro ek ücret talep ettiler. Bilet görevlileri önce valizi kabul etmeyeceklerini söylediler ancak sonrasında ödeme yapmamı sağladılar. Bu durum çok stresli ve kafa karıştırıcıydı. Bu deneyim, Pegasus ile bir daha asla uçmayacağım kanaatini kesinleştirdi. Dünyada başka güvenilir havayolu seçenekleri varken, Pegasus'un uyguladığı ek ücret politikaları ve tutarsız kontrol prosedürleri, yolcuları mağdur etmekte ve güven kaybına yol açmaktadır.",Olumsuz
114,Pegasus,Fadime Y,1,5,Nadire Yilmaz,Kayseri - Eindhoven,Europe,Aralık 2023,6 Aralık 2023,"Kayseri’den bana yardımcı olan Nadire Yilmaz’a teşekkür ediyorum. Yolculuğum sırasında sağladığı ilgi ve destek çok değerliydi. Kendisi sorularımı hızlı bir şekilde yanıtladı, bagaj ve uçuş işlemleri sırasında rehberlik etti ve genel olarak uçuş deneyimimi kolaylaştırdı. Bu tür personel yaklaşımı, yolcuların memnuniyetini artırıyor ve havayolu firması için olumlu bir izlenim yaratıyor. Nadire Hanım’ın gösterdiği profesyonellik ve nazik davranış, Pegasus deneyimimi daha olumlu bir hale getirdi.",Olumlu
115,Pegasus,Escape07457683550,1,5,Müşteri memnuniyeti,Copenhagen - Istanbul,Europe,Kasım 2023,26 Kasım 2023,"26 Kasım’da Kopenhag-İstanbul / SAW hattında seyahat ettim. Uçuş sırasında bizimle ilgilenen Enes, Zekeriya ve Cemre Ada isimli hizmet personeline çok teşekkür ediyorum. Sağladıkları destek, hızlı ve çözüm odaklı hizmet, yolculuk sırasında karşılaştığım sorunları minimize etti. Bu tür personel davranışları, Pegasus Airlines ile uçmayı daha güvenli ve konforlu bir deneyim haline getiriyor. Bundan sonraki seyahatlerimde de Pegasus’u tercih etme konusunda motive oldum ve personelin sağladığı kaliteli hizmeti özellikle takdir ediyorum.",Olumlu
116,Pegasus,Salim A,1,1,Berbat,Istanbul - Lyon,Europe,Kasım 2023,23 Kasım 2023,"Pasaport kontrolünde yaklaşık 1 saat bekledik ve kapıya 5 dakika geç kaldığımız için uçağa alınmadık. Personel anlayış göstermedi, güler yüz ve nezaket yoktu. Yeniden bilet almak zorunda kaldık. Uçuşların sürekli rötarlı olması da cabası. Bu deneyim beni hem maddi hem manevi olarak yıprattı. Tekrar tercih etmeyi düşünmüyorum.",Olumsuz
117,Pegasus,Hasan A,2,1,"Pegasus berbat Firma, hijyen sıfır uçaklar çok kirli personel çok kaba yiyecekler çok pahalı",Gaziantep - Düsseldorf,Europe,Ekim 2023,3 Kasım 2023,"Aktarmasız uçuşumuz bilgilendirme yapılmadan iptal edilerek aktarmalı uçuşa çevrildi. Aktarmalı uçuş da rötarlı kalktı ve fiyat farkı iade edilmedi. Uçaklar kirli ve hijyen yetersizdi. Personelin kaba tavırları rahatsız ediciydi. Uçak içi yiyecek ve içecek fiyatları çok pahalıydı (örneğin kahve 8 Euro). Hizmet kalitesi açısından son derece memnuniyetsiz kaldım.",Olumsuz
118,Pegasus,Nilsu Bağıgüzel,19,5,Bahadır Atakan ve Ekibine kocaman sevgiler,Istanbul - Antalya,Domestic,Ekim 2023,3 Kasım 2023,"26-10-2023 tarihinde PC4311 sefer sayılı uçuşta kabin ekibi amiri Bahadır Atakan ve ekibine teşekkür ederim. Güler yüzlü, ilgili ve profesyonel yaklaşımları sayesinde özellikle panik atak yaşayan bir yolcu olarak kendimi güvende hissettim. Pozitif enerjileri ve destekleri uçuş deneyimimizi çok daha iyi hale getirdi.",Olumlu
119,Pegasus,giz s,40,5,Yenilenmiş filo,Istanbul - Izmir,Domestic,Ekim 2023,23 Ekim 2023,"Uçaklar yenilenmiş ve temizdi ancak koltuk aralıkları oldukça dar. Bir saatten uzun uçuşlar için konfor yetersiz kalıyor. Yiyecek ve içeceklerin ücretli olması anlaşılabilir fakat suyun dahi ücretli olması yolcu açısından olumsuz bir durum. Genel olarak fiyat-performans dengesi tartışmalı.",Olumsuz
120,Pegasus,Yiğit A,1,1,pegasus HAKSIZLIK YAPMAYIN!!!,Amsterdam - Istanbul,Europe,Eylül 2023,11 Ekim 2023,"Online olarak daha uygun fiyata aldığım bilet iptal edildi ve daha pahalı bilet almak zorunda kaldım. Fiyat farkının iade edileceği söylendi ancak yaklaşık 1 yıldır ödeme yapılmadı. Gönderdiğim e-postalara yanıt alamıyorum. Bu süreç güven kaybına yol açtı ve resmi mercilere şikayet etmeyi düşünüyorum.",Olumsuz
121,Pegasus,Tayfun F,1,1,Pegasus hava yolları yolcuyu kandırıyor,Eindhoven - Istanbul,Europe,Eylül 2023,3 Eylül 2023,"Eindhoven’dan İstanbul’a gerçekleştirdiğimiz uçuşta iki adet bilgisayar sırt çantası için 140 Euro ekstra ücret alındı. Yolculuk sırasında verilen sandviçlerin kalitesi de oldukça düşüktü ve iade talebimiz kabul edilmedi. Personel iletişiminde de sorun yaşadık; açıklamalar yetersiz ve yaklaşım soğuktu. Genel olarak ücret politikası ve hizmet kalitesi açısından hayal kırıklığı yaratan bir deneyim oldu.",Olumsuz
122,Pegasus,Mehmet A,1,1,Uçuş esnasında kırılan valizler,Diyarbakır - Istanbul,Domestic,Haziran 2023,24 Ağustos 2023,"Uçuş sırasında valizim hasar gördü ve ilgili yetkililere başvurduğumda birkaç form doldurttular. 3 gün sonra gelen cevapta hasarın 'ufak çatlak ve delik' olarak değerlendirilerek yalnızca özür dilendi. Maddi zararımın karşılanmaması ve sürecin çok yüzeysel yürütülmesi büyük hayal kırıklığı yarattı.",Olumsuz
123,Pegasus,Faruk K,1,1,"Miserabel,ohne Qualität.",Bonn - Istanbul,Europe,Ağustos 2023,19 Ağustos 2023,"Organizasyon eksikliği, sık yaşanan gecikmeler ve bagaj işlemlerindeki düzensizlikler nedeniyle son derece olumsuz bir deneyim yaşadım. Bekleyen yolcular arasında sohbet eden personel görmek de memnuniyetsizliği artırdı. Hizmet kalitesinin geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
124,Pegasus,Filiz D,1,1,12 Ağustos 2023 PC2194 uçuş rötarı,Istanbul - Izmir,Domestic,Ağustos 2023,12 Ağustos 2023,"PC2194 sefer numaralı uçuş, planlanan 13:00 kalkış saatine rağmen defalarca rötar yaparak 16:00’da gerçekleşti. Bu gecikme nedeniyle aktarma trenimi kaçırdım ve herhangi bir yetkiliye ulaşamadım. Maddi ve manevi zararımın karşılanmasını talep ediyorum.",Olumsuz
125,Pegasus,Relax826218,1,5,Tebrikler,Nicosia - Istanbul,Europe,Temmuz 2023,2 Ağustos 2023,"Uçuş sırasında satılan yiyecek ve içeceklerin fiyatlarının makul seviyede olması memnuniyet vericiydi. Genel olarak hizmet politikasında olumlu değişimler olduğunu düşünüyorum ve uçuş deneyimimden memnun kaldım.",Olumlu
